Index,DateKey,channelKey,StoreKey,ProductKey,SalesQuantity
98168,01-Jan-12,1,15,487,9
98169,01-Jan-12,4,310,1625,13
98170,01-Jan-12,3,200,176,9
98171,01-Jan-12,1,80,2517,180
98172,01-Jan-12,2,307,1325,13
98173,01-Jan-12,2,306,721,24
98174,01-Jan-12,1,102,395,9
98175,01-Jan-12,2,307,1457,26
98176,01-Jan-12,1,267,1585,13
98177,01-Jan-12,1,142,1213,9
98178,01-Jan-12,2,307,1187,13
98179,01-Jan-12,1,264,748,13
98180,01-Jan-12,1,86,234,9
98181,01-Jan-12,1,181,1352,9
98182,01-Jan-12,4,308,1410,18
98183,01-Jan-12,4,308,279,9
98184,01-Jan-12,4,309,1228,8
98185,01-Jan-12,1,70,1345,9
98186,01-Jan-12,2,307,1044,13
98187,01-Jan-12,1,249,1593,8
98188,01-Jan-12,1,281,526,13
98189,01-Jan-12,1,263,402,8
98190,01-Jan-12,1,27,397,9
98191,01-Jan-12,2,199,1152,9
98192,01-Jan-12,1,39,821,9
98193,01-Jan-12,1,253,299,13
98194,01-Jan-12,1,296,1328,13
98195,01-Jan-12,1,245,971,8
98196,01-Jan-12,1,92,371,9
98197,01-Jan-12,1,61,1159,9
98198,01-Jan-12,3,200,393,9
98199,01-Jan-12,2,199,2492,180
98200,01-Jan-12,1,102,1363,9
98201,01-Jan-12,2,307,176,13
98202,01-Jan-12,1,95,978,9
98203,01-Jan-12,1,234,584,8
98204,01-Jan-12,1,290,2488,180
98205,01-Jan-12,1,180,296,9
98206,01-Jan-12,1,257,1467,13
98207,01-Jan-12,3,200,1245,9
98208,01-Jan-12,2,307,357,13
98209,01-Jan-12,1,246,1228,8
98210,01-Jan-12,1,161,1550,9
98211,01-Jan-12,3,200,183,27
98212,01-Jan-12,3,200,385,9
98213,01-Jan-12,1,260,1285,13
98214,01-Jan-12,1,95,2491,180
98215,01-Jan-12,1,146,1229,9
98216,01-Jan-12,4,309,663,8
98217,01-Jan-12,1,194,1239,9
98218,01-Jan-12,1,298,1253,13
98219,01-Jan-12,1,293,484,13
98220,01-Jan-12,2,306,514,8
