Index,DateKey,channelKey,StoreKey,ProductKey,SalesQuantity
167454,01-Jan-13,1,119,839,9
167455,01-Jan-13,1,270,1311,26
167456,01-Jan-13,2,199,704,18
167457,01-Jan-13,1,33,652,9
167458,01-Jan-13,4,310,1163,13
167459,01-Jan-13,3,200,1594,18
167460,01-Jan-13,2,306,1385,16
167461,01-Jan-13,1,54,1380,9
167462,01-Jan-13,2,199,1318,54
167463,01-Jan-13,1,205,415,16
167464,01-Jan-13,1,93,1049,9
167465,01-Jan-13,1,2,1182,9
167466,01-Jan-13,1,155,264,9
167467,01-Jan-13,1,183,1466,9
167468,01-Jan-13,4,309,306,8
167469,01-Jan-13,4,309,393,8
167470,01-Jan-13,4,308,1362,18
167471,01-Jan-13,1,277,1650,6
167472,01-Jan-13,1,29,52,9
167473,01-Jan-13,2,199,620,54
167474,01-Jan-13,2,199,1602,9
167475,01-Jan-13,3,200,798,9
167476,01-Jan-13,1,305,580,8
167477,01-Jan-13,1,248,650,16
167478,01-Jan-13,2,307,1545,13
167479,01-Jan-13,3,200,1480,18
167480,01-Jan-13,1,30,2,18
167481,01-Jan-13,4,308,1653,18
167482,01-Jan-13,1,163,649,18
167483,01-Jan-13,2,306,871,48
167484,01-Jan-13,1,85,405,9
167485,01-Jan-13,1,243,547,8
167486,01-Jan-13,1,234,608,16
167487,01-Jan-13,1,267,177,26
167488,01-Jan-13,4,309,1219,8
167489,01-Jan-13,1,46,1209,9
167490,01-Jan-13,4,309,1170,16
167491,01-Jan-13,1,276,143,13
167492,01-Jan-13,1,267,1490,26
167493,01-Jan-13,1,21,1528,9
167494,01-Jan-13,1,48,700,9
167495,01-Jan-13,1,28,343,9
167496,01-Jan-13,2,199,718,9
167497,01-Jan-13,2,199,1084,18
167498,01-Jan-13,1,287,1532,9
167499,01-Jan-13,1,174,1340,18
167500,01-Jan-13,1,279,1597,13
167501,01-Jan-13,1,279,164,6
167502,01-Jan-13,1,98,1539,9
167503,01-Jan-13,1,286,927,18
167504,01-Jan-13,1,252,1113,13
167505,01-Jan-13,1,135,80,18
167506,01-Jan-13,1,77,953,9
167507,01-Jan-13,1,125,282,9
167508,01-Jan-13,1,26,401,18
167509,01-Jan-13,2,307,1607,13
167510,01-Jan-13,1,178,677,18
167511,01-Jan-13,2,199,843,18
167512,01-Jan-13,1,262,752,52
167513,01-Jan-13,4,310,696,13
167514,01-Jan-13,3,200,328,18
167515,01-Jan-13,2,306,1492,8
167516,01-Jan-13,1,144,120,36
167517,01-Jan-13,1,39,203,9
