Customer ID,Sum of Sales,Sum of Quantity
12346,-฿64.68,52
12347,฿5633.32,3286
12348,฿2019.4,2714
12349,฿4404.54,1619
12350,฿334.4,197
12351,฿300.93,261
12352,฿1889.21,658
12353,฿406.76,212
12354,฿1079.4,530
12355,฿947.61,543
12356,฿6373.68,3417
12357,฿18287.66,6587
12358,฿3887.07,1079
12359,฿8714.89,2526
12360,฿4212.89,2458
12361,฿511.25,235
12362,฿5284.58,2213
12363,฿552,408
12364,฿1313.1,1506
12365,฿320.69,173
12366,฿500.24,296
12367,฿168.9,173
12368,฿917.7,330
12369,฿1791.15,1241
12370,฿4320.31,2605
12371,฿4067.38,1436
12372,฿1298.04,794
12373,฿1127.65,516
12374,฿2989.22,1362
12375,฿455.42,177
12376,฿503.15,240
12377,฿3426.32,2105
12378,฿5416.32,3316
12379,฿1618.27,814
12380,฿7888,3325
12381,฿1803.96,783
12382,-฿18.38,-1
12383,฿1839.31,1529
12384,฿566.16,121
12385,฿1923.4,611
12386,฿660.8,568
12387,฿143.94,134
12388,฿3901.11,2001
12389,฿1433.33,614
12390,฿549.84,353
12391,฿2747.82,1212
12392,฿234.75,73
12393,฿2376.75,1305
12394,฿1272.48,819
12395,฿5046.92,3728
12396,฿931.43,591
12397,฿2409.9,1263
12398,฿1635.66,1394
12399,฿1962.3,2198
12400,฿205.25,91
12401,฿84.3,11
12402,฿1244.15,583
12403,฿1001.36,259
12404,฿63.24,1
12405,฿1710.39,857
12406,฿6072.21,3383
12407,฿1708.12,1416
12408,฿4279.64,2186
12409,฿23090.47,13027
12410,฿1001.46,339
12411,฿346.9,138
12412,฿2581.03,1991
12413,฿935.5,315
12414,฿692.41,301
12415,฿143269.29,91315
12416,฿202.56,132
12417,฿6708.21,2876
12418,฿2016.95,1087
12419,฿503.01,231
12420,฿600.39,345
12421,฿1092.83,647
12422,฿4119.35,2591
12423,฿2612.19,1781
12424,฿3289.78,2015
12425,฿1680.81,1103
12426,฿1311.41,577
12427,฿1011.87,315
12428,฿7877.2,3503
12429,฿7435.51,3224
12430,฿256.4,117
12431,฿10719.41,4661
12432,฿5059.32,1801
12433,฿20428.86,17115
12434,฿1062.48,511
12435,฿13925.93,4958
12436,฿509.01,211
12437,฿12394.85,7931
12438,฿2906.85,1180
12439,฿1104.48,454
12440,฿768.15,308
12441,฿347.1,242
12442,฿172.06,182
12443,฿485.31,182
12444,฿5005.46,1155
12445,฿426.48,204
12446,฿1002.31,352
12447,฿476.49,190
12448,฿449.45,243
12449,฿4835.89,2282
12450,฿666.95,435
12451,฿12546.53,9226
12452,฿428.57,183
12453,฿707.09,473
12454,฿4292.71,2232
12455,฿5879.95,3302
12456,฿3153.89,1616
12457,฿2472.31,938
12458,฿1777.49,986
12459,฿454.36,258
12460,฿326.65,170
12461,฿826.88,287
12462,฿1124.01,514
12463,฿1303.63,757
12464,฿1212.05,112
12465,฿733.89,475
12466,฿56.73,1
12467,฿0,0
12468,฿3624.55,2184
12469,฿3070.54,2552
12470,฿211.95,95
12471,฿37948.61,16458
12472,฿16956.69,10910
12473,฿2848.23,2363
12474,฿11966.45,7797
12475,฿1149.64,771
12476,฿13715.62,5549
12477,฿20173.64,6086
12478,฿680.99,236
12479,฿477.3,351
12480,฿5435.1,2947
12481,฿12217.03,7115
12482,฿21893.53,27039
12483,฿4846.87,2145
12484,฿6303.85,3260
12485,฿708.1,414
12486,฿1037.28,523
12487,฿259.8,144
12488,฿1298.66,529
12489,฿334.93,105
12490,฿9818.64,5902
12491,฿460.4,260
12492,฿715.21,444
12493,฿416.79,206
12494,฿1743.52,961
12495,฿323.4,126
12496,฿54.09,33
12497,฿6211.75,5684
12498,฿403.7,159
12499,฿393.72,302
12500,฿5872.31,3360
12501,฿2089.68,1722
12502,฿3723.87,820
12503,฿0,560
12504,฿411,419
12505,฿908,313
12506,฿73.5,23
12507,฿1797.31,1256
12508,฿398.27,272
12509,฿176.5,55
12510,฿3689.33,2018
12511,฿3065.77,1748
12512,฿138.03,99
12513,฿586.79,456
12514,฿1597.76,840
12515,฿383.7,131
12516,฿2648.62,1952
12517,฿2464.89,1348
12518,฿2056.89,1318
12519,฿695.19,388
12520,฿2582.51,1430
12521,฿599.68,309
12522,฿192.72,194
12523,฿4220.85,2248
12524,฿11091.36,7173
12525,฿835.18,487
12526,฿1316.66,632
12527,฿735.51,526
12528,฿1922.28,750
12529,฿311.78,190
12530,฿3689.86,2698
12531,฿1899.05,1104
12532,฿349.83,153
12533,฿1149.99,568
12534,฿1089.18,651
12535,฿716.35,219
12536,฿4106.82,2652
12537,฿732.94,449
12538,฿640.45,336
12539,฿9498.9,4534
12540,฿22107.29,11009
12541,฿981.18,680
12542,฿423.38,514
12543,฿980.25,688
12544,฿355.7,132
12545,฿1000.39,523
12546,฿1141.5,617
12547,฿383.58,309
12548,฿95.2,49
12549,฿1575.68,1366
12550,฿964.83,569
12551,฿168,100
12552,฿437.82,88
12553,฿4548.82,2282
12554,฿468.5,240
12555,฿129.23,1
12556,฿603.71,358
12557,฿18716.14,6782
12558,฿0,0
12559,฿536.21,281
12560,฿2101.39,1078
12561,฿238.85,177
12562,฿4966.92,2327
12563,฿249.24,113
12564,฿456.9,133
12565,฿131.17,75
12566,฿346.7,264
12567,฿13393.82,5864
12568,฿70,48
12569,฿4064.99,1793
12570,฿77.52,1
12571,฿519.61,523
12572,฿1004.72,450
12573,฿717.41,479
12574,฿218.45,61
12575,฿622.82,315
12576,฿2083.87,1479
12577,฿1591.35,1191
12578,฿4572.45,2334
12579,฿410.72,278
12580,฿1052.9,569
12581,฿197.71,161
12582,฿1980.4,985
12583,฿14344.9,8932
12584,฿1893.95,354
12585,฿1982.81,1258
12586,฿2028.67,683
12587,฿144,51
12588,฿938.98,434
12589,฿3094.17,1369
12590,฿9853.48,4277
12591,฿1352.15,677
12592,฿1152.62,1872
12593,฿418.1,206
12594,฿5044.51,2743
12595,฿299.02,271
12596,฿618.27,474
12597,฿3683.13,2187
12598,฿4414.67,2840
12599,฿2296.72,2189
12600,฿4955.79,1405
12601,฿673.76,289
12602,฿153.12,162
12603,฿739.2,64
12604,฿254.18,201
12605,฿1217.95,921
12606,฿21,1
12607,฿0,0
12608,฿415.79,323
12609,฿3417.86,1552
12610,฿2057.99,1028
12611,฿1193.32,846
12612,฿643.59,251
12613,฿6591.52,4043
12614,฿315.6,76
12615,฿5564.88,3295
12616,฿1045.35,481
12617,฿355.53,213
12618,฿177.31,96
12619,฿3354.95,3494
12620,฿1339.41,1181
12621,฿24579.31,13875
12622,฿180.1,69
12623,฿3639.84,1966
12624,฿641.13,355
12625,฿5095.38,3274
12626,฿6388.35,3350
12627,฿4478.53,2752
12628,฿769.61,445
12629,฿1558.22,722
12630,฿1270.88,548
12631,฿3452.27,1593
12632,฿738.88,668
12633,฿5595.21,3207
12634,฿490,337
12635,฿2930.41,1949
12636,฿141,1
12637,฿8271.66,4272
12638,฿921.49,663
12639,฿1312.37,631
12640,฿1174.58,311
12641,฿185.9,72
12642,฿1013.26,552
12643,฿7880.9,4477
12644,฿1815.54,1001
12645,฿3499.1,2089
12646,฿1346.97,897
12647,฿17682.79,6813
12648,฿1097,514
12649,฿2238.7,1930
12650,฿314.44,254
12651,฿365.3,262
12652,฿1011.58,533
12653,฿4160.83,1681
12654,฿601.98,264
12655,฿261.35,80
12656,฿6320.78,2841
12657,฿1152.06,654
12658,฿686.05,320
12659,฿91.68,105
12660,฿245.1,127
12661,฿162,216
12662,฿6949.17,3560
12663,฿204,169
12664,฿6052.04,1494
12665,฿301.45,157
12666,฿1020.98,314
12667,฿620.13,395
12668,฿11380.71,5037
12669,฿1607.73,1114
12670,฿3750.39,1621
12671,฿2622.481,1460
12672,฿410.5,131
12673,฿1230.02,700
12674,฿1919.31,1102
12675,฿934.8,335
12676,฿2773.09,1865
12677,฿389.3,174
12678,฿33851.13,22233
12679,฿1058.67,530
12680,฿880.81,444
12681,฿30551.76,17500
12682,฿23945.81,11009
12683,฿12418.6,7597
12684,฿2283.63,1985
12685,฿2863.08,1523
12686,฿178.28,214
12687,฿2138.91,1403
12688,฿4873.81,3028
12689,฿1247.61,628
12690,฿389.01,106
12691,฿1170.4,445
12692,฿110.95,36
12693,฿1640.42,524
12694,฿1839.45,1353
12695,฿1407.12,454
12696,฿801.15,563
12697,฿939.02,499
12698,฿339.75,111
12699,฿638.11,373
12700,฿4867.99,2963
12701,฿2446.41,1727
12702,฿219,53
12703,฿892.18,539
12704,฿2220.84,1003
12705,฿11554,7108
12706,-฿91.89,-1
12707,฿603.42,256
12708,฿5118.16,2466
12709,฿30312.61,13776
12710,฿1130.57,849
12711,฿1339.05,770
12712,฿6979.66,2301
12713,฿848.55,508
12714,฿14093.71,8774
12715,฿353.86,197
12716,฿1053.49,708
12717,฿1258.91,599
12718,฿238.25,203
12719,฿608.1,361
12720,฿8047.88,6240
12721,฿3906.68,2631
12722,฿904.33,560
12723,฿725.07,434
12724,฿2317.52,1379
12725,฿2694.56,1306
12726,฿4014.6,4618
12727,฿5646.53,2819
12728,฿1070.17,543
12729,฿453.01,233
12730,฿829.25,234
12731,฿25673.21,11570
12732,฿236.26,111
12733,฿2326.82,885
12734,฿639.65,265
12735,฿779.57,368
12736,฿234,173
12737,฿3710.5,2
12738,฿310.7,296
12739,฿2726.73,951
12740,฿427.6,342
12741,฿406.07,214
12742,฿1185.02,1349
12743,฿546.43,319
12744,฿13158.16,6987
12745,฿925.41,468
12746,฿230.85,91
12747,฿9164.59,2733
12748,฿49970.13,37072
12749,฿6328.49,2271
12750,฿275.88,137
12751,฿268.27,189
12752,฿4366.78,2262
12753,฿21024.01,11250
12754,฿2949.12,6479
12755,฿6406.35,2521
12756,฿112.08,144
12757,฿4227.7,2385
12758,฿9779,6091
12759,฿5020.74,3202
12760,฿347.8,198
12761,฿782.95,281
12762,฿1898.52,1227
12763,฿814.16,512
12764,฿1693.88,386
12765,฿1404.58,1009
12766,฿10026.43,5427
12767,฿949.82,598
12768,฿0,0
12769,฿1143.6,356
12770,฿2975.95,1771
12771,฿262.5,100
12772,฿892.47,556
12773,฿0,0
12774,฿98.7,53
12775,฿1651.32,1059
12776,฿55.5,46
12777,฿519.45,458
12778,฿1757.68,1734
12779,฿6406.76,3472
12780,฿337.4,285
12781,฿707.72,592
12782,฿4526.04,1985
12783,฿1603.87,622
12784,฿1804.75,882
12785,฿1079.31,447
12786,฿728.5,324
12787,฿859.18,509
12788,฿444.9,194
12789,฿273.35,36
12790,฿563.45,300
12791,฿777.75,448
12792,฿813.88,393
12793,฿1017.33,526
12794,฿860.41,592
12795,฿430.48,68
12796,฿381,182
12797,฿725.46,290
12798,฿8510.93,8455
12799,฿219.35,137
12800,฿584.25,284
12801,฿1031.87,504
12802,฿2350.42,1954
12803,฿1092.81,872
12804,฿327.02,271
12805,฿1434.95,593
12806,฿2878.96,2087
12807,฿269.95,120
12808,฿906.1,375
12809,฿1705.34,508
12810,฿534.99,389
12811,฿1033.9,435
12812,฿229.64,164
12813,฿1687.8,1141
12814,฿125.92,49
12815,฿1063.46,379
12816,฿572.2,128
12817,฿690.98,219
12818,฿1517.88,923
12819,฿540.52,344
12820,฿2647.94,1928
12821,฿220.8,162
12822,฿918.98,548
12823,฿6501.5,930
12824,฿397.12,232
12825,฿518.63,139
12826,฿2928.69,1989
12827,฿430.15,197
