Customer ID,Recency,Frequency,Monetary,Cluster
12346.0,325,12,77556.46,Silver
12347.0,1,8,5633.32,Bronze
12348.0,74,5,2019.4,Bronze
12349.0,18,4,4428.69,Bronze
12350.0,309,1,334.4,Bronze
12351.0,374,1,300.93,Bronze
12352.0,35,10,2849.84,Bronze
12353.0,203,2,406.76,Bronze
12354.0,231,1,1079.4,Bronze
12355.0,213,2,947.61,Bronze
12356.0,22,6,6373.68,Bronze
12357.0,32,3,18287.66,Bronze
12358.0,1,5,3887.07,Bronze
12359.0,57,10,8935.94,Bronze
12360.0,51,8,4252.89,Bronze
12361.0,286,4,511.25,Bronze
12362.0,2,11,5356.23,Bronze
12363.0,109,2,552.0,Bronze
12364.0,7,4,1313.1,Bronze
12365.0,290,2,641.38,Bronze
12366.0,633,1,500.24,Bronze
12367.0,3,1,168.9,Bronze
12368.0,627,1,917.7,Bronze
12369.0,412,3,1791.15,Bronze
12370.0,50,7,4320.31,Bronze
12371.0,44,5,4067.38,Bronze
12372.0,71,3,1298.04,Bronze
12373.0,310,3,1127.65,Bronze
12374.0,24,4,2989.22,Bronze
12375.0,10,2,457.5,Bronze
12376.0,389,2,503.15,Bronze
12377.0,314,4,3426.32,Bronze
12378.0,129,2,5416.32,Bronze
12379.0,81,4,1620.22,Bronze
12380.0,21,11,9676.3,Bronze
12381.0,4,5,1845.31,Bronze
12383.0,184,5,1850.56,Bronze
12384.0,28,2,585.27,Bronze
12385.0,378,1,1938.4,Bronze
12386.0,337,2,660.8,Bronze
12387.0,414,1,143.94,Bronze
12388.0,15,8,3901.11,Bronze
12389.0,402,3,1433.33,Bronze
12390.0,79,1,549.84,Bronze
12391.0,21,6,2773.42,Bronze
12392.0,590,1,234.75,Bronze
12393.0,71,6,2399.45,Bronze
12394.0,63,2,1272.48,Bronze
12395.0,18,15,5067.27,Bronze
12396.0,673,1,931.43,Bronze
12397.0,35,2,2409.9,Bronze
12398.0,45,1,1635.66,Bronze
12399.0,118,7,1962.3,Bronze
12400.0,413,1,205.25,Bronze
12401.0,302,1,84.3,Bronze
12402.0,322,6,1256.9,Bronze
12403.0,49,2,1019.36,Bronze
12404.0,681,1,63.24,Bronze
12405.0,148,1,1710.39,Bronze
12406.0,21,5,6390.36,Bronze
12407.0,49,5,1708.12,Bronze
12408.0,32,8,4340.77,Bronze
12409.0,78,7,23419.29,Silver
12410.0,308,3,1013.71,Bronze
12411.0,409,1,346.9,Bronze
12412.0,74,6,2596.93,Bronze
12413.0,66,4,999.45,Bronze
12414.0,216,6,952.41,Bronze
12415.0,23,28,144458.38,Platinum
12416.0,656,1,202.56,Bronze
12417.0,2,20,6816.91,Bronze
12418.0,112,4,2021.2,Bronze
12419.0,385,2,503.01,Bronze
12420.0,63,1,600.39,Bronze
12421.0,15,6,1098.6,Bronze
12422.0,95,17,5231.8,Bronze
12423.0,0,10,2622.39,Bronze
12424.0,162,4,3340.03,Bronze
12425.0,77,2,1741.41,Bronze
12426.0,194,2,1345.21,Bronze
12427.0,21,3,1129.3,Bronze
12428.0,25,9,7956.46,Bronze
12429.0,8,8,7485.91,Bronze
12430.0,42,1,256.4,Bronze
12431.0,35,27,10857.97,Bronze
12432.0,42,5,5059.32,Bronze
12433.0,0,10,20581.26,Silver
12434.0,84,3,1103.43,Bronze
12435.0,79,6,13925.93,Bronze
12436.0,99,1,509.01,Bronze
12437.0,1,39,12683.4,Bronze
12438.0,13,2,2906.85,Bronze
12439.0,682,2,1158.18,Bronze
12440.0,461,2,859.2,Bronze
12441.0,366,1,347.1,Bronze
12442.0,2,1,172.06,Bronze
12443.0,731,1,485.31,Bronze
12444.0,20,5,5005.46,Bronze
12445.0,21,2,434.98,Bronze
12446.0,57,1,1002.31,Bronze
12447.0,242,1,476.49,Bronze
12448.0,43,1,449.45,Bronze
12449.0,21,6,4835.89,Bronze
12450.0,155,5,688.2,Bronze
12451.0,10,8,12669.88,Bronze
12452.0,16,2,430.57,Bronze
12453.0,133,1,707.09,Bronze
12454.0,55,5,16679.78,Bronze
12455.0,72,10,5879.95,Bronze
12456.0,43,3,3181.04,Bronze
12457.0,65,8,2995.91,Bronze
12458.0,70,4,1777.49,Bronze
12459.0,604,1,454.36,Bronze
12460.0,455,1,326.65,Bronze
12461.0,93,2,826.88,Bronze
12462.0,18,2,1189.59,Bronze
12463.0,52,4,1344.78,Bronze
12464.0,9,8,1212.05,Bronze
12465.0,16,2,742.19,Bronze
12466.0,681,1,56.73,Bronze
12467.0,422,1,132.8,Bronze
12468.0,187,5,3670.74,Bronze
12469.0,522,2,3070.54,Bronze
12470.0,689,1,211.95,Bronze
12471.0,1,79,39963.79,Silver
12472.0,31,19,17880.59,Bronze
12473.0,28,5,3938.55,Bronze
12474.0,16,31,12424.45,Bronze
12475.0,53,2,1149.64,Bronze
12476.0,15,23,14115.41,Bronze
12477.0,22,9,20276.37,Silver
12478.0,3,1,680.99,Bronze
12479.0,10,1,527.2,Bronze
12480.0,27,7,5464.85,Bronze
12481.0,22,15,12361.39,Bronze
12482.0,575,29,23691.4,Silver
12483.0,16,19,5120.58,Bronze
12484.0,32,12,6370.15,Bronze
12485.0,528,1,708.1,Bronze
12486.0,431,1,1037.28,Bronze
12487.0,730,1,285.3,Bronze
12488.0,9,3,1298.66,Bronze
12489.0,335,1,334.93,Bronze
12490.0,4,21,9823.64,Bronze
12491.0,38,1,460.4,Bronze
12492.0,62,3,715.21,Bronze
12493.0,165,2,433.74,Bronze
12494.0,15,9,1872.87,Bronze
12495.0,640,1,357.4,Bronze
12496.0,619,2,54.09,Bronze
12497.0,81,3,6248.5,Bronze
12498.0,20,3,403.7,Bronze
12499.0,559,1,393.72,Bronze
12500.0,22,19,5955.21,Bronze
12501.0,336,1,2169.39,Bronze
12502.0,95,5,3723.87,Bronze
12503.0,583,1,1126.0,Bronze
12504.0,17,4,779.05,Bronze
12505.0,408,1,955.2,Bronze
12506.0,232,1,73.5,Bronze
12507.0,133,4,1844.06,Bronze
12508.0,25,2,398.27,Bronze
12509.0,283,1,176.5,Bronze
12510.0,142,9,5178.02,Bronze
12511.0,428,1,3084.02,Bronze
12512.0,65,2,138.03,Bronze
12513.0,112,1,612.29,Bronze
12514.0,266,2,1597.76,Bronze
12515.0,352,1,383.7,Bronze
12516.0,77,4,2648.62,Bronze
12517.0,27,5,2502.84,Bronze
12518.0,0,5,2056.89,Bronze
12519.0,63,2,726.54,Bronze
12520.0,78,5,2634.26,Bronze
12521.0,142,1,599.68,Bronze
12522.0,38,2,192.72,Bronze
12523.0,18,23,4372.15,Bronze
12524.0,8,17,11126.11,Bronze
12525.0,497,3,973.73,Bronze
12526.0,0,3,1316.66,Bronze
12527.0,81,5,735.51,Bronze
12528.0,8,6,1933.48,Bronze
12529.0,527,1,316.48,Bronze
12530.0,59,9,3759.26,Bronze
12531.0,14,2,1933.2,Bronze
12532.0,29,1,349.83,Bronze
12533.0,627,2,1367.89,Bronze
12534.0,130,1,1089.18,Bronze
12535.0,91,2,716.35,Bronze
12536.0,42,3,12601.83,Bronze
12537.0,408,1,732.94,Bronze
12538.0,28,2,640.45,Bronze
12539.0,21,7,11214.75,Bronze
12540.0,19,33,22254.49,Silver
12541.0,29,3,981.18,Bronze
12542.0,483,2,481.88,Bronze
12543.0,447,1,980.25,Bronze
12544.0,35,1,372.7,Bronze
12545.0,74,2,1000.39,Bronze
12546.0,46,2,1161.5,Bronze
12547.0,197,3,383.58,Bronze
