Date,Income,Cost of Goods Sold,Gross Profit ,Total Operating Expenses  ,Operating Profit (EBIT),Taxes    ,Net Profit   ,Net Profit Margin %,Expenses,Cash at EOM,Quick Ratio,Current Ratio,Accounts Receivable,Accounts Payable
2019-01-01,450100.0,125000.0,325100.0,175100.0,150000.0,80000.0,70000.0,0.15552099533437014,300100.0,438500.0,1.33,4.11,106000.0,88400.0
2019-02-01,480000.0,125900.0,354100.0,180000.0,174100.0,100000.0,74100.0,0.154375,305900.0,416700.0,1.47,3.66,99100.0,86700.0
2019-03-01,430000.0,125500.0,304500.0,178500.0,126000.0,96200.0,29800.0,0.06930232558139535,304000.0,471100.0,1.89,4.01,105000.0,90400.0
2019-04-01,510000.0,125200.0,384800.0,172200.0,212600.0,77700.0,134900.0,0.26450980392156864,297400.0,448200.0,2.11,4.08,106800.0,120000.0
2019-05-01,480000.0,123500.0,356500.0,174400.0,182100.0,100100.0,82000.0,0.17083333333333334,297900.0,429900.0,1.94,4.11,102800.0,97700.0
2019-06-01,520000.0,124200.0,395800.0,175100.0,220700.0,75000.0,145700.0,0.2801923076923077,299300.0,499900.0,1.68,2.99,102000.0,88800.0
2019-07-01,510000.0,122600.0,387400.0,179400.0,208000.0,99900.0,108100.0,0.2119607843137255,302000.0,488900.0,1.45,3.22,105200.0,90100.0
2019-08-01,410000.0,123700.0,286300.0,185000.0,101300.0,88800.0,12500.0,0.03048780487804878,308700.0,472100.0,1.22,3.66,101600.0,97000.0
2019-09-01,520000.0,126200.0,393800.0,200200.0,193600.0,91100.0,102500.0,0.1971153846153846,326400.0,432100.0,1.11,3.12,102400.0,83000.0
2019-10-01,518400.0,120100.0,398300.0,173800.0,224500.0,78100.0,146400.0,0.2824074074074074,293900.0,492700.0,1.55,3.55,106700.0,91300.0
2019-11-01,480000.0,123600.0,356400.0,155800.0,200600.0,87400.0,113200.0,0.23583333333333334,279400.0,428800.0,1.76,3.88,102100.0,80200.0
2019-12-01,462500.0,122400.0,340100.0,144400.0,195700.0,98000.0,97700.0,0.21124324324324326,266800.0,467700.0,1.33,3.99,100300.0,80100.0
2020-01-01,486125.4629121938,117058.53965933553,330448.68608360254,193792.72358696046,113539.50180537176,89565.66092944305,23973.840875928712,0.049316159520446635,310851.263246296,400816.1083009996,1.6130628785623373,4.624197133211281,112291.87140200898,67086.53677324427
2020-02-01,423692.9266561359,110682.61236743168,332012.1563804976,218997.6679821831,194458.08391411923,85832.0222148927,108626.06169922653,0.2563792191588465,329680.2803496148,405115.81874762056,1.365686209606611,3.9209719232792057,111923.21084447207,101363.18397194197
2020-03-01,390016.8268766196,119240.83811238228,371875.19913899864,216234.45701418072,107348.65404190702,89783.58807969844,17565.06596220858,0.04503668752672875,335475.295126563,381230.93244151975,1.4577942566035675,4.744280737141551,117024.27323989764,93238.9599628365
2020-04-01,540105.3336826431,120577.22503464759,365917.8024335457,204051.9867928004,231388.83702435787,94865.84393036249,136522.99309399538,0.2527710514597769,324629.211827448,367399.4557910764,1.6698318242395709,4.114064345503847,90693.19224631644,133602.18529159436
2020-05-01,540076.3858579217,134958.80690699894,437916.4839507665,209801.89892991903,219719.23117506452,95269.88933941844,124449.34183564608,0.23042914871746506,344760.705836918,500753.295942011,2.1722025263380917,4.825314916274024,109750.91696365661,106863.65248995917
2020-06-01,429146.9371336783,98794.93482965039,462854.2519710491,148910.93902398975,188990.83631042868,72435.17798018402,116555.65833024467,0.27159848584434343,247705.87385364014,624244.3734754521,1.9443429991392236,2.7250239862696057,77168.22052852152,66847.2089853047
2020-07-01,526718.7790700768,113362.02345169324,332885.67517434596,224082.56455221516,184295.33926109574,96017.6800807679,88277.65918032784,0.16759922502892768,337444.5880039084,530180.7215914298,1.7158536178594934,2.4678026825348245,88287.57872366566,72228.96733293946
2020-08-01,388866.87124212587,143013.1918044824,254913.80128984695,176715.74471059296,100185.00453830863,87952.72384618205,12232.280692126573,0.03145621701600342,319728.9365150754,539227.5528466464,0.9241232587437338,3.9998956429107,115440.42460130034,100096.1648634758
2020-09-01,570927.5052603538,98736.71033831827,424986.04111907294,241426.2854714037,191770.1801501505,112911.43787938001,78858.74227077048,0.13812391511039462,340162.995809722,366759.3431224256,1.1130726102599477,3.097434545085704,111628.12264629861,85752.44889848467
2020-10-01,533815.6642328287,139155.83760596524,308642.93123303197,155486.14502613636,237650.6119141034,92990.0552962648,144660.55661783862,0.27099346518003936,294641.98263210163,549228.1735475655,1.7497629217754085,3.12118877118493,97795.25108946601,82201.66826319198
2020-11-01,587532.9276674894,107095.10014414799,288165.2697542937,167105.9536061907,217087.15659429829,100114.13194919193,116973.02464510636,0.1990918621522886,274201.05375033873,532654.5338549763,1.7370741090308943,4.353054036608516,123453.930299567,81709.49292142427
2020-12-01,364365.5845534126,114962.92977165827,290575.2287395556,135130.1370022871,165070.5934400534,100067.09855153337,65003.49488852003,0.17840185144870924,250093.06677394538,568674.2999761521,1.4962103711570551,3.0624768901445316,124390.2352626814,97212.28017021653
