industry_name,stock_name
agri,ee
agri,gfpt
agri,lee
agri,ner
agri,pppm
agri,sta
agri,tegh
agri,tfm
agri,trubb
agri,upoic
agri,uvan
agri,vpo
food,aai
food,apure
food,asian
food,br
food,brr
food,btg
food,cbg
food,cfresh
food,ch
food,choti
food,cm
food,cococo
food,cpf
food,cpi
food,f&d
food,glocon
food,htc
food,ichi
food,itc
food,jdf
food,kbs
food,kcg
food,ksl
food,ktis
food,lst
food,m
food,malee
food,nrf
food,nsl
food,osp
food,pb
food,plus
food,pm
food,pqs
food,prg
food,rbf
food,sappe
food,sauce
food,snnp
food,snp
food,sorkon
food,ssc
food,ssf
food,sst
food,sun
food,tc
food,tfg
food,tfmama
food,tipco
food,tkn
food,tu
food,tvo
food,twpc
food,w
food,zen
fashion,afc
fashion,aura
fashion,btnc
fashion,cph
fashion,cpl
fashion,nc
fashion,paf
fashion,pdj
fashion,pg
fashion,sabina
fashion,sawang
fashion,suc
fashion,tnl
fashion,tr
fashion,tti
fashion,ttt
fashion,upf
fashion,wacoal
fashion,wfx
home,aja
home,dtci
home,fancy
home,fti
home,kye
home,l&e
home,modern
home,ogc
home,rock
home,sbnext
home,siam
home,tcmc
person,apco
person,biz
person,blc
person,ddd
person,jct
person,kiss
person,nam
person,nv
person,occ
person,s&j
person,stgt
person,sthai
person,tnr
person,tog
bank,bay
bank,bbl
bank,cimbt
bank,credit
bank,kbank
bank,kkp
bank,ktb
bank,lhfg
bank,scb
bank,tcap
bank,tisco
bank,ttb
fin,aeonts
fin,amanah
fin,asap
fin,ask
fin,asp
fin,bam
fin,byd
fin,cgh
fin,chase
fin,chayo
fin,ecl
fin,fns
fin,fsx
fin,gbx
fin,gl
fin,heng
fin,ifs
fin,jmt
fin,kcar
fin,kgi
fin,ktc
fin,mfc
fin,micro
fin,ml
fin,mst
fin,mtc
fin,ncap
fin,pl
fin,s11
fin,sak
fin,sawad
fin,scap
fin,sgc
fin,sm
fin,th
fin,thani
fin,tidlor
fin,tk
fin,tnity
fin,uobkh
fin,xpg
insur,ayud
insur,bki
insur,bla
insur,bui
insur,charan
insur,insure
insur,kwi
insur,mti
insur,nki
insur,smk
insur,tgh
insur,thre
insur,threl
insur,tiph
insur,tli
insur,tqm
insur,tsi
insur,tvh
auto,3k-bat
auto,acg
auto,ah
auto,cwt
auto,eason
auto,gyt
auto,hft
auto,ihl
auto,ingrs
auto,irc
auto,mgc
auto,nex
auto,pcsgh
auto,poly
auto,sat
auto,spg
auto,stanly
auto,tkt
auto,tnpc
auto,tru
auto,tsc
imm,alla
imm,asefa
imm,cpt
imm,crane
imm,ctw
imm,fmt
imm,htech
imm,kkc
imm,pk
imm,psp
imm,snc
imm,stark
imm,tcj
imm,tpcs
imm,varo
paper,utp
petro,bct
petro,cman
petro,gc
petro,ggc
petro,gift
petro,ivl
petro,nfc
petro,pato
petro,pmta
petro,pttgc
petro,sutha
petro,tpa
petro,uac
petro,up
pkg,aj
pkg,alucon
pkg,bgc
pkg,csc
pkg,nep
pkg,pjw
pkg,ptl
pkg,scgp
pkg,sflex
pkg,sithai
pkg,slp
pkg,smpc
pkg,spack
pkg,tcoat
pkg,tfi
pkg,thip
pkg,tmd
pkg,topp
pkg,tpac
pkg,tpbi
pkg,tpp
steel,2s
steel,amc
steel,bsbm
steel,cen
steel,city
steel,csp
steel,gjs
steel,gsteel
steel,inox
steel,lhk
steel,mcs
steel,mill
steel,pap
steel,perm
steel,sam
steel,smit
steel,sssc
steel,tgpro
steel,the
steel,tmt
steel,tsth
steel,twp
steel,tycn
conmat,ccp
conmat,dcc
conmat,dcon
conmat,drt
conmat,epg
conmat,gel
conmat,ppp
conmat,q-con
conmat,scc
conmat,sccc
conmat,scgd
conmat,scp
conmat,skn
conmat,stech
conmat,tasco
conmat,toa
conmat,tpipl
conmat,umi
conmat,vng
conmat,wiik
conmat,window
prop,a
prop,aks
prop,amata
prop,amatav
prop,anan
prop,ap
prop,apex
prop,asw
prop,awc
prop,bland
prop,bri
prop,brock
prop,cgd
prop,ci
prop,cmc
prop,cpn
prop,estar
prop,ever
prop,fpt
prop,gland
prop,j
prop,jck
prop,kc
prop,lalin
prop,lh
prop,lpn
prop,mbk
prop,mjd
prop,mk
prop,nch
prop,nncl
prop,noble
prop,nusa
prop,nvd
prop,ori
prop,orn
prop,pace
prop,peace
prop,pf
prop,pin
prop,plat
prop,polar
prop,precha
prop,prin
prop,psh
prop,qh
prop,rabbit
prop,richy
prop,rml
prop,rojna
prop,s
prop,sa
prop,samco
prop,sc
prop,sena
prop,siri
prop,spali
prop,uv
prop,wha
prop,win
pf&reit,aimcg
pf&reit,aimirt
pf&reit,ally
pf&reit,amatar
pf&reit,b-work
pf&reit,bareit
pf&reit,bkkcp
pf&reit,boffice
pf&reit,cpncg
pf&reit,cpnreit
pf&reit,cptgf
pf&reit,ctaraf
pf&reit,dreit
pf&reit,erwpf
pf&reit,ftreit
pf&reit,futurepf
pf&reit,gahreit
