market,sector,symbol,symbol_name,description,link_website,one_report_link
SET,AGRI,EE,บริษัท อีเทอเนิล เอนเนอยี จำกัด (มหาชน),บริษัทมีความมุ่งมั่นในการดำเนินธุรกิจพืชเศรษฐกิจชนิดใหม่แบบครบวงจร ในปัจจุบันมุ่งเน้นไปที่พืชสกุลกัญชาและกัญชง,http://www.eternalenergy.co.th,https://weblink.set.or.th/dat/f56/0282ONE040420242130360311T.zip
SET,AGRI,GFPT,บริษัท จีเอฟพีที จำกัด (มหาชน),กลุ่มบริษัทประกอบธุรกิจการเกษตรครบวงจร ครอบคลุมตั้งแต่ธุรกิจอาหารสัตว์ ธุรกิจฟาร์มเลี้ยงไก่ปู่ย่าพันธุ์ ธุรกิจฟาร์มเลี้ยงไก่พ่อแม่พันธุ์ ธุรกิจฟาร์มเลี้ยงไก่เนื้อ ธุรกิจชำแหละและแปรรูปผลิตภัณฑ์จากเนื้อไก่ โดยผลิตภัณฑ์หลักของกลุ่มบริษัท ได้แก่ ผลิตภัณฑ์จากเนื้อไก่ เนื้อไก่สด อาหารแปรรูปจากเนื้อไก่ และ อาหารปรุงสุกพร้อมรับประทาน รวมถึง อาหารสัตว์บก อาหารสัตว์น้ำ,http://www.gfpt.co.th,https://weblink.set.or.th/dat/f56/0297ONE070320241232250206T.zip
SET,AGRI,LEE,บริษัท ลีพัฒนาผลิตภัณฑ์ จำกัด (มหาชน),(1) ผลิตอาหารสัตว์(2) อบพืช กิจการไซโลและจัดจำหน่ายวัตถุดิบสำหรับผลิตอาหารสัตว์(3) ฟาร์มทดลอง(4) ฟาร์มเพาะพันธุ์ไม้,http://www.leepattana.com,https://weblink.set.or.th/dat/f56/0181ONE010420240810580102T.zip
SET,AGRI,NER,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),ดำเนินธุรกิจผลิตและจำหน่ายยางแผ่นรมควัน ยางแท่ง และยางผสม เพื่อจำหน่ายไปยังผู้ผลิตในอุตสาหกรรมยานยนต์และกลุ่มผู้ค้าคนกลาง,http://www.nerubber.com,https://weblink.set.or.th/dat/f56/1461ONE290320241709480064T.zip
SET,AGRI,PPPM,บริษัท พีพี ไพร์ม จำกัด (มหาชน),บริษัทมุ่งมั่นและพัฒนาธุรกิจในธุรกิจจำหน่ายและผลิตอาหารสัตว์น้ำและสัตว์เลี้ยง โดยแบ่งเป็น สายการผลิตอาหารกุ้ง (Shrimp Feed)  สายการผลิตอาหารปลา (Fish Feed) และอาหารสัตว์เลี้ยง (PET Food),https://www.ppprime.co.th/,https://weblink.set.or.th/dat/f56/0435ONE290320241718580609T.zip
SET,AGRI,STA,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),ธุรกิจผลิตและจัดจำหน่ายยางธรรมชาติแบบครบวงจร (Full Supply Chain) ในหลากหลายประเทศ เริ่มตั้งแต่ธุรกิจต้นน้ำการทำสวนยางพาราในประเทศไทย ธุรกิจกลางน้ำการผลิตและจัดจำหน่ายผลิตภัณฑ์ยางธรรมชาติ ทั้งยางแท่ง (TSR) ยางแผ่นรมควัน (RSS) และน้ำยางข้น (Concentrated Latex) รวมถึงธุรกิจปลายน้ำในการผลิตและจัดจำหน่ายถุงมือยาง และสินค้าสำเร็จรูป อาทิ ท่อไฮดรอลิกแรงดันสูง,http://www.sritranggroup.com,https://weblink.set.or.th/dat/f56/0254ONE080320241804100139T.zip
SET,AGRI,TEGH,บริษัท ไทยอีสเทิร์น กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),บริษัทประกอบธุรกิจโดยการถือหุ้นในบริษัทอื่น (Holding Company) โดยมีบริษัทย่อยที่ประกอบธุรกิจหลัก 3 ธุรกิจ ได้แก่ ยางธรรมชาติ น้ำมันปาล์มดิบ และพลังงานทดแทนและบริหารจัดการกากอินทรีย์,http://www.thaieasterngroup.com,https://weblink.set.or.th/dat/f56/1716ONE290320241855210889T.zip
SET,AGRI,TFM,บริษัท ไทยยูเนี่ยน ฟีดมิลล์ จำกัด (มหาชน),ผลิตและจำหน่ายอาหารสัตว์เศรษฐกิจ โดยมีผลิตภัณฑ์หลัก ได้แก่ อาหารกุ้ง อาหารปลา  และอาหารสัตว์บก,http://www.thaiunionfeedmill.com,https://weblink.set.or.th/dat/f56/1664ONE140320241423320355T.zip
SET,AGRI,TRUBB,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน),ธุรกิจเกี่ยวกับยางพาราครบวงจร ครอบคลุมตั้งแต่ ธุรกิจปลูกสวนยางพาราในประเทศไทย ผลิตและจำหน่ายวัตถุดิบจากยางพารา ได้แก่ น้ำยางข้น ยางแท่ง ธุรกิจผลิตและจำหน่ายเส้นด้ายยางยืด และที่นอนยางพารา นอกจากนี้บริษัทยังประกอบธุรกิจนายหน้าในตลาดสินค้าเกษตรล่วงหน้าแห่งประเทศไทย,http://www.thaitex.com,https://weblink.set.or.th/dat/f56/0249ONE210320241725490386T.zip
SET,AGRI,UPOIC,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),ดำเนินกิจการปลูกปาล์มน้ำมัน และมีโรงงานสกัดน้ำมันปาล์มดิบและน้ำมันเมล็ดในปาล์มดิบ ซึ่งเป็นวัตถุดิบของอุตสาหกรรมต่อเนื่องอื่น เช่น น้ำมันปรุงอาหาร เนยเทียม ไอศครีม  สบู่  แชมพู ส่วนผสมอาหาร เคมีภัณฑ์ อาหารสัตว์ เป็นต้น และน้ำมันปาล์มยังเป็นส่วนประกอบสำคัญในการผลิตไบโอดีเซล ซึ่งเป็นพลังงานทางเลือก,http://www.upoic.co.th,https://weblink.set.or.th/dat/f56/0227ONE220320241407490005T.zip
SET,AGRI,UVAN,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),ธุรกิจหลัก คือ สวนปาล์ม สกัดน้ำมันปาล์มดิบ และน้ำมันเมล็ดในปาล์มดิบ เพื่อจำหน่ายให้แก่โรงกลั่นน้ำมันปาล์มทั้งในและต่างประเทศ โดยมีผลิตภัณฑ์พลอยได้ คือ เมล็ดในปาล์ม กากเมล็ดในปาล์มและกะลาปาล์ม นอกจากนี้ยังผลิตเมล็ดพันธุ์และต้นกล้าพันธุ์ปาล์มน้ำมันลูกผสมจำหน่ายให้แก่เกษตรกรทั้งในและต่างประเทศ และโรงผลิตกระแสไฟฟ้าจากก๊าซชีวภาพ เพื่อจำหน่ายให้กับการไฟฟ้าส่วนภูมิภาค,http://www.univanich.com,https://weblink.set.or.th/dat/f56/0748ONE270320241525540660T.zip
SET,AGRI,VPO,บริษัท วิจิตรภัณฑ์ปาล์มออยล์ จำกัด (มหาชน),บริษัทประกอบธุรกิจผลิตและจำหน่ายน้ำมันปาล์มดิบและผลพลอยได้จากการผลิตน้ำมันปาล์มดิบ  รวมถึงธุรกิจผลิตและจำหน่ายไฟฟ้าจากของเสียหรือสิ่งเหลือใช้จากกระบวนการสกัดน้ำมันปาล์มดิบ,http://www.vcbpalmoil.com,https://weblink.set.or.th/dat/f56/1230ONE220320242027580084T.zip
SET,FOOD,AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),ธุรกิจรับจ้างผลิตและจำหน่ายอาหารสัตว์เลี้ยง (Pet food) อาหารพร้อมทานบรรจุภาชนะปิดผนึก (Human food) และผลิตภัณฑ์ผลพลอยได้จากการแปรรูปปลาทูน่า,http://www.asianalliance.co.th,https://weblink.set.or.th/dat/f56/1723ONE270320241726260902T.zip
SET,FOOD,APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),เป็นบริษัทลงทุน (Holding Company) โดยดำเนินธุรกิจผ่านทางบริษัทย่อยซึ่งดำเนินธุรกิจหลักเกี่ยวกับการผลิตและจำหน่ายผลิตภัณฑ์ทางการเกษตรแปรรูป ประเภทข้าวโพดบรรจุกระป๋อง ผัก ผลไม้สดและเมล็ดพันธุ์ข้าวโพด,http://www.apureholdings.com,https://weblink.set.or.th/dat/f56/0343ONE010420241158570304T.zip
SET,FOOD,ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),แปรรูปสัตว์น้ำแช่เยือกแข็ง เพื่อจำหน่ายและส่งออก ทั้งที่เป็นผลิตภัณฑ์ภายใต้เครื่องหมายการค้าของบริษัท และผลิตภัณฑ์ภายใต้เครื่องหมายการค้าของลูกค้า,http://www.asiansea.co.th,https://weblink.set.or.th/dat/f56/0405ONE290320241013450295T.zip
SET,FOOD,BR,บริษัท บางกอกแร้นช์ จำกัด (มหาชน),"บริษัท บางกอกแร้นช์ จำกัด (มหาชน) (""บริษัทฯ"") เป็นผู้นำในธุรกิจผลิตอาหารจากเนื้อเป็ดแบบครบวงจร โดยดำเนินธุรกิจเกษตรอุตสาหกรรมและผลิตอาหารจากเนื้อเป็ดที่มีคุณภาพในระดับพรีเมี่ยม และจำแนกธุรกิจของกลุ่มบริษัทออกเป็น 5 ประเภท ได้แก่ 1) ธุรกิจอาหารสัตว์ 2) ธุรกิจฟาร์มพ่อแม่พันธุ์เป็ด 3) ธุรกิจโรงฟักไข่เป็ด 4) ธุรกิจฟาร์มเลี้ยงเป็ดเนื้อ และ 5) ธุรกิจโรงงานชำแหละและแปรรูปเนื้อเป็ด เพื่อผลิตเป็นผลิตภัณฑ์อาหารแปรรูปพร้อมปรุง และผลิตภัณฑ์อาหารแปรรูปปรุงสุกจากเนื้อเป็ด รวมถึงผลพลอยได้อื่นๆ โดยผลิตภัณฑ์ของกลุ่มบริษัทมีการจำหน่ายทั้งในประเทศและต่างประเทศ ทั้งเอเชีย ยุโรป และตะวันออกกลาง กลุ่มบริษัทมีฐานการผลิตแบบครบวงจรทั้งในประเทศไทยและประเทศเนเธอร์แลนด์",http://www.br-brgroup.com,https://weblink.set.or.th/dat/f56/1267ONE010420241029230971T.zip
SET,FOOD,BRR,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน),"บริษัทดำเนินธุรกิจลงทุนในบริษัทอื่น (Holding Company) โดยลงทุนในบริษัทย่อยที่ถือหุ้นร้อยละ 99.99 ซึ่งดำเนินธุรกิจจำนวน 6 บริษัท โดยมีธุรกิจหลักเป็นธุรกิจผลิตและจำหน่ายน้ำตาลทราย และอุตสาหกรรมต่อเนื่อง ได้แก่ 1) ธุรกิจผลิตและจำหน่ายน้ำตาลทราย โดยมีบริษัท โรงงานน้ำตาลบุรีรัมย์ จำกัด เป็นบริษัทแกน 2) ธุรกิจผลิตและจำหน่ายไฟฟ้าจากพลังงานชีวมวล โดยบริษัท บุรีรัมย์พลังงาน จำกัด, บริษัท บุรีรัมย์เพาเวอร์ จำกัด และ บริษัท บุรีรัมย์เพาเวอร์พลัส จำกัด 3) ธุรกิจผลิตและจำหน่ายปุ๋ยอินทรีย์ โดยบริษัท ปุ๋ยตรากุญแจ จำกัด 4) ธุรกิจผลิตบรรจุภัณฑ์ เครื่องใช้ และอุปกรณ์ต่าง ๆ จากชานอ้อย และเยื่อพืชธรรมชาติชนิดอื่น โดย บริษัท ชูการ์เคน อีโคแวร์ จำกัด เเละ 5)ธุรกิจการบริหารจัดการโลจิสติกส์และบริการขนส่ง โดยบริษัท บีอาร์อาร์ โลจิสติกส์ แมเนจเมนท์ จำกัด",http://www.buriramsugar.com,https://weblink.set.or.th/dat/f56/1224ONE290320241653350528T.zip
SET,FOOD,BTG,บริษัท เบทาโกร จำกัด (มหาชน),ธุรกิจเกษตรอุตสาหกรรมและอาหารครบวงจร,http://www.betagro.com,https://weblink.set.or.th/dat/f56/0612ONE200320241215280847T.zip
SET,FOOD,CBG,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),ประกอบธุรกิจโดยการถือหุ้นในบริษัทอื่น (Holding Company) ซึ่งมีการลงทุนหลักในบริษัทย่อยที่ประกอบธุรกิจ ผลิต ทำการตลาด จำหน่าย และบริหารจัดการการจัดจำหน่ายเครื่องดื่มบำรุงกำลังและเครื่องดื่มอื่น ๆ อย่างครบวงจร,http://www.carabaogroup.com,https://weblink.set.or.th/dat/f56/1200ONE280320241350510240T.zip
SET,FOOD,CFRESH,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน),"ผลิตและจำหน่ายผลิตภัณฑ์กุ้งแช่แข็ง โดยมีการส่งออกสินค้าหลักส่วนใหญ่ ภายใต้แบรนด์ของตัวเอง ได้แก่ Seafresh, Sea Angel, Phoenix ,Thai Chia, Go-Go และผลิตภายใต้แบรนด์ของลูกค้า",http://www.seafresh.com,https://weblink.set.or.th/dat/f56/0359ONE270320241822540127T.zip
SET,FOOD,CH,บริษัท เจริญอุตสาหกรรม จำกัด (มหาชน),ธุรกิจผลิตและจำหน่ายผลไม้และอาหารแปรรูป  ได้แก่ ผลไม้อบแห้ง ปลากระป๋อง และขนมเพื่อสุขภาพ,https://chinhuay.com/,https://weblink.set.or.th/dat/f56/1715ONE280320242046510028T.zip
SET,FOOD,CHOTI,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน),ผู้ผลิตและส่งออกอาหารทะเลแช่แข็ง,http://www.kst-hatyai.com,https://weblink.set.or.th/dat/f56/0300ONE290320241701550343T.zip
SET,FOOD,CM,บริษัท เชียงใหม่โฟรเซ่นฟู้ดส์ จำกัด(มหาชน),"ผลิตและส่งออก ผักแปรรูปแช่แข็ง เช่น ถั่วแขกแช่แข็ง, ถั่วแระแช่แข็ง,ข้าวโพดหวานแช่แข็ง, ข้าวโพดฝักอ่อนแช่แข็ง และ ผักผสมแช่แข็ง",http://www.cmfrozen.com,https://weblink.set.or.th/dat/f56/0317ONE270320241607040689T.zip
SET,FOOD,COCOCO,บริษัท ไทย โคโคนัท จำกัด (มหาชน),ผลิตและจำหน่ายกะทิ น้ำมะพร้าว มะพร้าวแปรรูป อาหารสัตว์เลี้ยง และอาหารเพื่อสุขภาพรวมถึงชีสและเนยจากโปรตีนพืช,https://www.thaicoconut.com,https://weblink.set.or.th/dat/f56/1830ONE180320241715230624T.zip
SET,FOOD,CPF,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),บริษัทประกอบธุรกิจเกษตรอุตสาหกรรมและอาหารที่จำแนกธุรกิจหลักตามลักษณะของผลิตภัณฑ์ ออกเป็น 3 ประเภท คือ 1) ธุรกิจอาหารสัตว์ (Feed) ได้แก่ การผลิตและจำหน่ายอาหารสัตว์ 2) ธุรกิจเลี้ยงสัตว์-แปรรูป (Farm-Processing) ได้แก่ การเพาะพันธุ์สัตว์ การเลี้ยงสัตว์เพื่อการค้า และการแปรรูปเนื้อสัตว์ขั้นพื้นฐาน 3) ธุรกิจอาหาร (Food) ได้แก่ การผลิตเนื้อสัตว์แปรรูปกึ่งปรุงสุกและปรุงสุก และการผลิตผลิตภัณฑ์อาหารสำเร็จรูปหรืออาหารพร้อมรับประทาน รวมถึงกิจการค้าปลีกอาหารและร้านอาหาร,http://www.cpfworldwide.com,https://weblink.set.or.th/dat/f56/0101ONE250320241709590771T.zip
SET,FOOD,CPI,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),"ดำเนินธุรกิจในฐานะเป็นผู้ผลิตและจำหน่ายผลิตภัณฑ์น้ำมันปาล์มประเภทต่างๆ อาทิ น้ำมันปาล์มดิบ น้ำมันเมล็ดในปาล์ม น้ำมันปาล์มบริสุทธิ์ น้ำมันเมล็ดในปาล์มบริสุทธิ์ น้ำมันปาล์มโอเลอิน เพื่อการนำไปใช้ในอุตสาหกรรมต่อเนื่องต่างๆ มากมาย และ น้ำมันปาล์มโอเลอินผ่านกรรมวิธีบรรจุขวด ปี๊บ และถุง ตรา ""ลีลา"" ที่ได้คุณภาพและมาตรฐานสากล สำหรับใช้ในตลาดผู้บริโภคทั่วไป รวมทั้งยังมีผลิตภัณฑ์ผลพลอยได้อื่นๆ อาทิ ไขปาล์มบริสุทธิ์ กรดไขมันปาล์ม และกากเมล็ดในปาล์ม สำหรับใช้ในอุตสาหกรรมอาหารสัตว์อีกด้วย",http://www.cpi-th.com,https://weblink.set.or.th/dat/f56/0389ONE250320241625220646T.zip
